record_id,train_id,train_name,service_date,route_id,origin_station,destination_station,section_id,station_sequence,station_name,scheduled_departure,scheduled_arrival,scheduled_destination_arrival,actual_observation_time,actual_destination_arrival,latitude,longitude,current_speed_kmh,distance_remaining_km,current_delay_minutes,station_arrival_time,station_departure_time,weather_condition,track_condition,signal_aspect,historical_section_delay_minutes,scheduled_travel_time_min,historical_delay_minutes,station_dwell_time_min,route_section,observation_hour,day_of_week,progress_ratio,target_arrival_delay_minutes
OBS-000001,12000,Deccan Express,2026-01-01,PUNE_MUMBAI,Pune,Mumbai,PUNE_LONAVALA,0,Pune,2026-01-01 05:15:00,2026-01-01 05:15:00,2026-01-01 07:35:00,2026-01-01 05:25:00,2026-01-01 07:41:48,18.37077,73.016533,66.7,180.88,-0.0,2026-01-01 05:15:00,2026-01-01 05:16:18,clear,normal,DOUBLE_YELLOW,7.6,140.0,7.6,1.3,PUNE_MUMBAI:PUNE_LONAVALA,5,3,0.07142857142857142,6.8
OBS-000002,12000,Deccan Express,2026-01-01,PUNE_MUMBAI,Pune,Mumbai,PUNE_LONAVALA,0,Pune,2026-01-01 05:15:00,2026-01-01 05:15:00,2026-01-01 07:35:00,2026-01-01 05:40:00,2026-01-01 07:41:48,18.422746,72.98347,69.5,163.04,1.2,2026-01-01 05:16:12,2026-01-01 05:16:12,rain,normal,GREEN,7.6,140.0,7.6,0.0,PUNE_MUMBAI:PUNE_LONAVALA,5,3,0.17857142857142858,6.8
OBS-000003,12000,Deccan Express,2026-01-01,PUNE_MUMBAI,Pune,Mumbai,PUNE_LONAVALA,0,Pune,2026-01-01 05:15:00,2026-01-01 05:15:00,2026-01-01 07:35:00,2026-01-01 05:55:00,2026-01-01 07:41:48,18.396498,72.9994,73.1,143.27,2.8,2026-01-01 05:17:48,2026-01-01 05:17:48,clear,wet,YELLOW,7.6,140.0,7.6,0.0,PUNE_MUMBAI:PUNE_LONAVALA,5,3,0.2857142857142857,6.8
OBS-000004,12000,Deccan Express,2026-01-01,PUNE_MUMBAI,Pune,Mumbai,LONAVALA_KARJAT,1,Lonavala,2026-01-01 05:15:00,2026-01-01 05:50:00,2026-01-01 07:35:00,2026-01-01 06:00:00,2026-01-01 07:41:48,18.695895,73.330995,57.9,118.35,3.1,2026-01-01 05:53:06,2026-01-01 05:57:54,clear,normal,GREEN,7.6,140.0,7.6,4.8,PUNE_MUMBAI:LONAVALA_KARJAT,6,3,0.32142857142857145,6.8
OBS-000005,12000,Deccan Express,2026-01-01,PUNE_MUMBAI,Pune,Mumbai,LONAVALA_KARJAT,1,Lonavala,2026-01-01 05:15:00,2026-01-01 05:50:00,2026-01-01 07:35:00,2026-01-01 06:15:00,2026-01-01 07:41:48,18.683052,73.378923,46.9,108.46,2.9,2026-01-01 05:52:54,2026-01-01 05:54:54,rain,normal,RED,7.6,140.0,7.6,2.0,PUNE_MUMBAI:LONAVALA_KARJAT,6,3,0.42857142857142855,6.8
OBS-000006,12000,Deccan Express,2026-01-01,PUNE_MUMBAI,Pune,Mumbai,LONAVALA_KARJAT,1,Lonavala,2026-01-01 05:15:00,2026-01-01 05:50:00,2026-01-01 07:35:00,2026-01-01 06:30:00,2026-01-01 07:41:48,18.707348,73.330488,55.5,91.0,5.0,2026-01-01 05:55:00,2026-01-01 05:57:00,clear,normal,YELLOW,7.6,140.0,7.6,2.0,PUNE_MUMBAI:LONAVALA_KARJAT,6,3,0.5357142857142857,6.8
OBS-000007,12000,Deccan Express,2026-01-01,PUNE_MUMBAI,Pune,Mumbai,KARJAT_KALYAN,2,Karjat,2026-01-01 05:15:00,2026-01-01 06:25:00,2026-01-01 07:35:00,2026-01-01 06:35:00,2026-01-01 07:41:48,18.955375,73.704987,48.0,79.0,6.3,2026-01-01 06:31:18,2026-01-01 06:35:18,clear,wet,GREEN,7.6,140.0,7.6,4.0,PUNE_MUMBAI:KARJAT_KALYAN,6,3,0.5714285714285714,6.8
OBS-000008,12000,Deccan Express,2026-01-01,PUNE_MUMBAI,Pune,Mumbai,KARJAT_KALYAN,2,Karjat,2026-01-01 05:15:00,2026-01-01 06:25:00,2026-01-01 07:35:00,2026-01-01 06:50:00,2026-01-01 07:41:48,18.967425,73.71255,62.1,61.12,3.4,2026-01-01 06:28:24,2026-01-01 06:30:24,cloudy,normal,GREEN,7.6,140.0,7.6,2.0,PUNE_MUMBAI:KARJAT_KALYAN,6,3,0.6785714285714286,6.8
OBS-000009,12000,Deccan Express,2026-01-01,PUNE_MUMBAI,Pune,Mumbai,KARJAT_KALYAN,2,Karjat,2026-01-01 05:15:00,2026-01-01 06:25:00,2026-01-01 07:35:00,2026-01-01 07:05:00,2026-01-01 07:41:48,18.935097,73.697738,65.3,43.47,3.3,2026-01-01 06:28:18,2026-01-01 06:30:18,rain,normal,GREEN,7.6,140.0,7.6,2.0,PUNE_MUMBAI:KARJAT_KALYAN,7,3,0.7857142857142857,6.8
OBS-000010,12000,Deccan Express,2026-01-01,PUNE_MUMBAI,Pune,Mumbai,KALYAN_MUMBAI,3,Kalyan,2026-01-01 05:15:00,2026-01-01 07:00:00,2026-01-01 07:35:00,2026-01-01 07:10:00,2026-01-01 07:41:48,19.247402,74.047947,72.6,34.9,6.1,2026-01-01 07:06:06,2026-01-01 07:11:54,cloudy,normal,GREEN,7.6,140.0,7.6,5.8,PUNE_MUMBAI:KALYAN_MUMBAI,7,3,0.8214285714285714,6.8
